timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G)
1482925504.975415,1.272246,-0.243957,-0.686100,-1.997861,2.656932,1.885070,0.927463,0.241545,-0.285425,0.377491,0.130373,-0.029010
1482925504.994703,1.338673,-0.207889,-0.654516,-0.458830,3.196205,2.393133,0.952226,0.206395,-0.225092,0.613025,0.160685,-0.035632
1482925505.014020,1.395808,-0.158086,-0.644909,0.092823,2.549261,2.757818,0.972449,0.157429,-0.171926,0.681751,0.146212,0.209798
1482925505.033308,1.439660,-0.103063,-0.629072,-0.732686,2.087449,3.013321,0.986153,0.102881,-0.130067,0.706583,-0.071840,0.207247
1482925505.052625,1.486508,-0.045773,-0.598317,-1.400252,2.521089,3.229289,0.995406,0.045757,-0.084101,0.766462,-0.112903,-0.093174
1482925505.071943,1.543793,0.023248,-0.579682,-0.275289,3.234895,3.765960,0.999365,-0.023246,-0.026993,0.787178,-0.055112,-0.493058
1482925505.091229,1.616578,0.095260,-0.584445,0.215530,4.014020,3.711713,0.994423,-0.095116,0.045558,0.695544,-0.228360,-0.377777
1482925505.110548,1.693155,0.172487,-0.577101,-1.386258,3.883426,4.168552,0.977795,-0.171633,0.120242,0.875391,-0.116878,-0.161846
1482925505.129865,1.750260,0.264136,-0.550248,-2.373348,2.893431,4.640514,0.949815,-0.261076,0.172311,1.065198,0.011900,-0.163209
1482925505.149153,1.794696,0.364251,-0.534299,-1.222325,2.435463,4.968956,0.911068,-0.356249,0.207466,0.919377,0.020605,-0.237364
1482925505.168469,1.855803,0.459522,-0.553280,0.102430,3.054321,4.999994,0.860109,-0.443519,0.251997,0.821286,0.022202,-0.360146
1482925505.187788,1.947021,0.549344,-0.596124,0.442207,3.868986,5.146181,0.793216,-0.522128,0.313354,0.897091,0.244690,-0.386764
1482925505.207074,2.058618,0.633456,-0.659454,0.795282,4.038557,5.081781,0.711973,-0.591933,0.377768,0.778281,0.429037,-0.234646
1482925505.226393,2.196457,0.703663,-0.737624,0.443561,5.144075,4.667180,0.618046,-0.647015,0.446532,0.759441,0.334169,-0.445876
1482925505.245709,2.364267,0.764490,-0.827743,0.757496,5.543176,4.468381,0.506207,-0.692169,0.514446,1.008205,0.362566,-0.701309
1482925505.264997,2.541446,0.806455,-0.932106,0.643278,5.325777,4.224784,0.390851,-0.721838,0.571125,1.116017,0.344023,-0.942254
1482925505.284314,2.711636,0.850047,-1.023668,-1.221347,5.280085,3.748559,0.275086,-0.751312,0.599882,1.125208,0.220724,-1.112954
1482925505.303632,2.870287,0.928500,-1.104629,-3.733261,4.675138,3.893047,0.160536,-0.800722,0.577124,1.243341,0.432480,-1.356813
1482925505.322920,3.019036,1.024369,-1.197312,-4.749395,3.074613,3.290391,0.063525,-0.854387,0.515740,1.224998,0.492067,-1.578953
1482925505.342237,3.129363,1.128315,-1.291818,-5.596525,0.337668,2.163109,0.005236,-0.903692,0.428150,1.209402,0.229936,-1.542718
1482925505.361555,-3.129119,1.249957,-1.339076,-6.281391,-1.542446,0.163685,-0.003934,-0.948971,0.315337,1.313318,0.460963,-1.341506
1482925505.380841,3.034021,1.366290,-1.260662,-6.180221,-2.719507,-1.418680,0.021804,-0.979161,0.201907,1.378699,0.411576,-1.077005
1482925505.400160,2.246274,1.467866,-0.546136,-7.660515,-5.110395,-3.238274,0.080184,-0.994707,0.064244,1.362618,0.087557,-0.529837
1482925505.419477,0.963060,1.370585,0.622739,-8.734501,-6.947513,-5.205630,0.163265,-0.980025,-0.113560,1.054168,0.090059,0.143891
1482925505.438765,0.702111,1.171637,0.740724,-7.914058,-7.969403,-7.147651,0.250998,-0.921388,-0.296722,0.778371,0.467060,0.647085
1482925505.458081,0.615056,0.967196,0.657028,-6.557316,-8.395693,-8.685497,0.327514,-0.823297,-0.463591,0.794464,0.862073,0.677238
1482925505.477400,0.558874,0.778702,0.517623,-4.889360,-8.283211,-9.504243,0.377433,-0.702356,-0.603523,1.045476,1.086742,0.425122
1482925505.496686,0.514326,0.623938,0.356435,-2.844882,-7.283682,-9.634159,0.399257,-0.584236,-0.706585,1.352544,1.154948,0.192724
1482925505.516005,0.478193,0.514917,0.180905,-0.314049,-6.387708,-9.249822,0.400507,-0.492463,-0.772706,1.545079,1.139448,0.115448
1482925505.535321,0.450237,0.454800,-0.000118,1.505978,-5.386299,-8.621760,0.390943,-0.439283,-0.808823,1.422965,1.065223,0.278874
1482925505.554609,0.432430,0.419994,-0.178265,2.089271,-4.573819,-8.199134,0.382657,-0.407755,-0.829042,1.113158,0.882437,0.598636
1482925505.573926,0.419718,0.399787,-0.356214,2.880813,-4.135996,-8.119308,0.375369,-0.389222,-0.841192,0.730395,0.763776,0.967508
1482925505.593245,0.425966,0.397508,-0.539496,3.823991,-2.726285,-7.896559,0.380983,-0.387122,-0.839636,0.416004,0.579633,1.304000
1482925505.612531,0.461253,0.412367,-0.719614,4.703259,-1.587692,-7.131855,0.407763,-0.400779,-0.820430,0.508789,0.475450,1.511630
1482925505.631849,0.491609,0.434515,-0.899768,4.858003,-2.694556,-7.172764,0.428180,-0.420971,-0.799653,0.493227,0.305826,1.647250
1482925505.651166,0.521400,0.440815,-1.079580,3.911332,-1.679016,-7.142729,0.450479,-0.426677,-0.784230,0.138358,0.245817,1.743601
1482925505.670454,0.599751,0.427067,-1.234182,3.118448,1.946224,-6.045925,0.513742,-0.414203,-0.751336,0.160685,0.421809,1.444286
1482925505.689771,0.701450,0.413384,-1.365605,3.253011,2.374837,-5.072739,0.590968,-0.401711,-0.699561,0.380338,0.478752,1.511468
1482925505.709089,0.780983,0.402414,-1.487482,3.602970,1.195748,-4.348099,0.647743,-0.391640,-0.653488,0.398141,0.317192,1.649437
1482925505.728375,0.843346,0.399492,-1.602005,4.005804,0.919874,-3.537085,0.688062,-0.388950,-0.612607,0.168652,0.099200,1.621388
1482925505.747694,0.922713,0.408973,-1.710187,4.308506,2.681350,-2.499476,0.731494,-0.397667,-0.553875,0.234438,-0.111676,1.397880
1482925505.767011,1.023113,0.422273,-1.803418,3.671005,3.182324,-1.653651,0.778741,-0.409835,-0.474971,0.795171,-0.206774,1.111053
1482925505.786299,1.080954,0.430005,-1.874012,2.821934,0.378099,-1.117247,0.802076,-0.416875,-0.427655,1.040962,-0.316165,0.998527
1482925505.805615,1.098122,0.428974,-1.922563,1.405175,-0.022095,-1.067918,0.809681,-0.415938,-0.414019,0.340715,-0.354029,0.938378
1482925505.824934,1.128767,0.417071,-1.935418,-0.348851,2.174234,-0.631133,0.826404,-0.405085,-0.391105,-0.216920,-0.353417,0.861301
1482925505.844220,1.177706,0.404858,-1.928482,-0.527947,2.526194,-0.424372,0.849054,-0.393888,-0.352079,-0.030097,-0.112856,0.718091
1482925505.863539,1.199072,0.393610,-1.924950,-0.260300,0.311691,-0.480627,0.860455,-0.383525,-0.335447,0.275667,0.009434,0.567594
1482925505.882855,1.202673,0.381840,-1.918793,-0.832395,0.694611,-0.397724,0.865810,-0.372628,-0.333948,0.219801,-0.049970,0.322055
1482925505.902143,1.214970,0.371986,-1.899004,-1.064434,0.939294,-0.104534,0.873250,-0.363467,-0.324539,0.346414,0.136706,0.048072
1482925505.921461,1.217405,0.363068,-1.882383,-0.913437,0.203078,-0.133206,0.877044,-0.355144,-0.323521,0.315183,0.245214,-0.025855
1482925505.940781,1.220560,0.362714,-1.862165,-0.834428,1.065379,0.678308,0.878178,-0.354813,-0.320796,0.117112,0.313985,-0.036577
1482925505.960068,1.264453,0.380071,-1.848961,-0.027619,3.081717,1.197248,0.885403,-0.370987,-0.280053,0.418947,0.299303,-0.228668
1482925505.979386,1.313673,0.398687,-1.840145,-0.370879,2.327832,0.800043,0.891275,-0.388209,-0.234356,1.196499,0.112664,-0.121366
1482925505.998703,1.319860,0.397550,-1.813783,-1.669102,-0.070246,0.035416,0.893135,-0.387161,-0.228946,1.654507,-0.010187,0.178542
1482925506.017990,1.297543,0.393193,-1.779757,-1.200779,-0.513191,0.286513,0.889419,-0.383140,-0.249272,1.545618,0.213529,0.104434
1482925506.037308,1.286193,0.396468,-1.783166,0.968039,-0.795721,-0.022123,0.885324,-0.386163,-0.258997,1.320853,0.428629,0.176044
1482925506.056626,1.274478,0.395512,-1.810195,1.012137,-1.274817,-0.720093,0.882581,-0.385281,-0.269458,1.158827,0.075979,0.424969
1482925506.075913,1.254552,0.373518,-1.820715,-0.385511,-1.287355,-1.546656,0.884878,-0.364893,-0.289556,1.079955,-0.211624,0.565017
1482925506.095230,1.222304,0.327796,-1.810711,-1.765452,-1.550604,-2.332121,0.889843,-0.321958,-0.323299,0.854303,-0.272934,0.595948
1482925506.114548,1.186957,0.263878,-1.778831,-3.142311,-1.140079,-2.606167,0.895138,-0.260827,-0.361520,0.456565,-0.284171,0.575187
1482925506.133835,1.163266,0.188633,-1.727920,-4.310521,-0.315175,-2.546540,0.901817,-0.187516,-0.389313,0.123107,-0.290015,0.553722
