timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G)
1482925536.230132,1.104674,0.587125,-0.402596,-0.941495,1.885524,2.206581,0.743720,-0.553970,-0.374164,0.038603,1.604951,-0.486028
1482925536.249449,1.121159,0.611207,-0.361048,-1.150559,2.254651,1.730071,0.737556,-0.573856,-0.355950,0.103822,1.578768,-0.741406
1482925536.268736,1.149550,0.628733,-0.326265,-0.690052,2.590493,1.278174,0.738070,-0.588120,-0.330706,0.157256,1.407997,-1.052816
1482925536.288054,1.187435,0.647803,-0.309546,-0.017918,2.420116,1.166134,0.739529,-0.603436,-0.298263,0.166764,1.464141,-1.027754
1482925536.307372,1.226821,0.668620,-0.301610,0.019797,2.193409,1.139591,0.738712,-0.619904,-0.264619,0.134374,1.508464,-0.808791
1482925536.326689,1.253955,0.690050,-0.281232,-0.636291,2.026025,1.406304,0.732826,-0.636576,-0.240284,0.292044,1.398205,-0.783625
1482925536.345976,1.274352,0.714608,-0.248854,-0.840075,2.236327,1.708479,0.722403,-0.655321,-0.220654,0.531044,1.200158,-0.850337
1482925536.365294,1.300253,0.745546,-0.217256,-0.629737,2.560489,2.015744,0.707993,-0.678373,-0.196357,0.734875,1.087713,-0.783052
1482925536.384612,1.339872,0.788409,-0.194266,-0.014690,3.072425,2.611298,0.686261,-0.709232,-0.161353,0.932100,1.097787,-0.745174
1482925536.403899,1.404511,0.847219,-0.191222,0.730793,3.707255,3.268123,0.652937,-0.749442,-0.109586,1.045807,1.148591,-0.708564
1482925536.423216,1.493819,0.919270,-0.199688,0.571355,4.676465,3.913088,0.604604,-0.795159,-0.046633,1.168200,1.196673,-0.503346
1482925536.442534,1.595593,1.003370,-0.202281,0.021402,5.309830,4.617228,0.537298,-0.843287,0.013326,1.445423,1.131385,-0.350468
